"card","pools","type","rarity","cost","target","keywords","coverage","confidence","needed_editor_effects","blockers_or_review_points","source_primitives","applied_powers","dynamic_vars","override_methods","note","source_file"
"Bully","Ironclad","Attack","Uncommon","0","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Bully.cs"
"BurningPact","Ironclad","Skill","Uncommon","1","Self","Exhaust","Exact","High","DrawCards; ExhaustCards","supported selector/pile operation","DrawCards;ExhaustCards","","CardsVar","OnPlay;OnUpgrade","Direct mapping to existing editor selector and pile operation effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BurningPact.cs"
"Cascade","Ironclad","Skill","Rare","-1","Self","","Almost","Medium","PlayCardFromPile","conditional branch","PlayCardFromPile","","","OnPlay","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Cascade.cs"
"Cinder","Ironclad","Attack","Common","2","AnyEnemy","Exhaust","Almost","Medium","DealDamage; ExhaustCards","conditional branch; randomness; pile scan","DealDamage;ExhaustCards","","DamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Cinder.cs"
"Colossus","Ironclad","Skill","Uncommon","1","Self","","Exact","High","GainBlock; ApplyPower; ApplyPower:ColossusPower","supported primitives only","GainBlock;ApplyPower","ColossusPower","BlockVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Colossus.cs"
"Conflagration","Ironclad","Attack","Rare","1","AllEnemies","","Almost","Medium","DealDamage","loop/repeat","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Conflagration.cs"
"Corruption","Ironclad","Power","Ancient","3","Self","Exhaust","Exact","High","ApplyPower; ApplyPower:CorruptionPower","supported primitives only","ApplyPower","CorruptionPower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Corruption.cs"
"CrimsonMantle","Ironclad","Power","Rare","1","Self","","Exact","High","ApplyPower; ApplyPower:CrimsonMantlePower","supported primitives only","ApplyPower","CrimsonMantlePower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\CrimsonMantle.cs"
"Cruelty","Ironclad","Power","Rare","1","Self","","Exact","High","ApplyPower; ApplyPower:CrueltyPower","supported primitives only","ApplyPower","CrueltyPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Cruelty.cs"
"DarkEmbrace","Ironclad","Power","Rare","2","Self","Exhaust","Exact","High","ApplyPower; ApplyPower:DarkEmbracePower","supported primitives only","ApplyPower","DarkEmbracePower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DarkEmbrace.cs"
"DefendIronclad","Ironclad","Skill","Basic","1","Self","","Exact","High","GainBlock","supported primitives only","GainBlock","","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DefendIronclad.cs"
"DemonForm","Ironclad","Power","Rare","3","Self","","Exact","High","ApplyPower; ApplyPower:DemonFormPower","supported primitives only","ApplyPower","DemonFormPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DemonForm.cs"
"DemonicShield","Ironclad","Skill","Uncommon","0","AnyAlly","Exhaust","Almost","Medium","GainBlock; LoseHp","calculated amount","GainBlock;LoseHp","","CalculatedBlockVar;CalculationBaseVar;CalculationExtraVar;DynamicVar;HpLossVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DemonicShield.cs"
"Dismantle","Ironclad","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Dismantle.cs"
"Dominate","Ironclad","Skill","Uncommon","1","AnyEnemy","Exhaust","Exact","High","GainStrength; ApplyVulnerable","supported primitives only","GainStrength;ApplyVulnerable","StrengthPower;VulnerablePower","DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Dominate.cs"
"DrumOfBattle","Ironclad","Power","Uncommon","0","Self","Exhaust","Exact","High","DrawCards; ApplyPower; ApplyPower:DrumOfBattlePower","supported primitives only","DrawCards;ApplyPower","DrumOfBattlePower","CardsVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\DrumOfBattle.cs"
"EvilEye","Ironclad","Skill","Uncommon","1","Self","Exhaust","Almost","Medium","GainBlock","loop/repeat","GainBlock","","BlockVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\EvilEye.cs"
"ExpectAFight","Ironclad","Skill","Uncommon","2","Self","","Almost","Medium","GainEnergy; ApplyPower; ApplyPower:NoEnergyGainPower","calculated amount","GainEnergy;ApplyPower","NoEnergyGainPower","CalculatedVar;CalculationBaseVar;CalculationExtraVar;DynamicVar;EnergyVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\ExpectAFight.cs"
"Feed","Ironclad","Attack","Rare","1","AnyEnemy","Exhaust","Almost","Medium","DealDamage; GainMaxHp","conditional branch","DealDamage;GainMaxHp","","DamageVar;DynamicVar;MaxHpVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Feed.cs"
"FeelNoPain","Ironclad","Power","Uncommon","1","Self","Exhaust","Exact","High","ApplyPower; ApplyPower:FeelNoPainPower","supported primitives only","ApplyPower","FeelNoPainPower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\FeelNoPain.cs"
"FiendFire","Ironclad","Attack","Rare","2","AnyEnemy","Exhaust","Almost","Medium","DealDamage; ExhaustCards","conditional branch; loop/repeat; pile scan","DealDamage;ExhaustCards","","DamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\FiendFire.cs"
"FightMe","Ironclad","Attack","Uncommon","2","AnyEnemy","","Exact","High","DealDamage; GainStrength","supported primitives only","DealDamage;GainStrength","StrengthPower","DamageVar;DynamicVar;PowerVar;RepeatVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\FightMe.cs"
"FlameBarrier","Ironclad","Skill","Uncommon","2","Self","","Exact","High","GainBlock; ApplyPower; ApplyPower:FlameBarrierPower","supported primitives only","GainBlock;ApplyPower","FlameBarrierPower","BlockVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\FlameBarrier.cs"
"ForgottenRitual","Ironclad","Skill","Uncommon","1","Self","Exhaust","Almost","Medium","GainEnergy","conditional branch","GainEnergy","","EnergyVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\ForgottenRitual.cs"
"Havoc","Ironclad","Skill","Common","1","Self","Exhaust","Exact","High","PlayCardFromPile","supported primitives only","PlayCardFromPile","","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Havoc.cs"
"Headbutt","Ironclad","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage; MoveCardsBetweenPiles","supported selector/pile operation","DealDamage;MoveCardsBetweenPiles","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing editor selector and pile operation effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Headbutt.cs"
"Hellraiser","Ironclad","Power","Rare","2","Self","","Exact","High","ApplyPower; ApplyPower:HellraiserPower","supported primitives only","ApplyPower","HellraiserPower","","OnEnqueuePlayVfx;OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Hellraiser.cs"
"Hemokinesis","Ironclad","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage; LoseHp","supported primitives only","DealDamage;LoseHp","","DamageVar;DynamicVar;HpLossVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Hemokinesis.cs"
"HowlFromBeyond","Ironclad","Attack","Uncommon","3","AllEnemies","Exhaust","Almost","Medium","DealDamage","conditional branch","DealDamage","","DamageVar","BeforeHandDraw;OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\HowlFromBeyond.cs"
"Impervious","Ironclad","Skill","Rare","2","Self","Exhaust","Exact","High","GainBlock","supported primitives only","GainBlock","","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Impervious.cs"
"InfernalBlade","Ironclad","Skill","Uncommon","1","Self","Exhaust","Exact","High","AddRandomCardToHand; CreatedCardsCostLess","","AddSpecificCardToHand","","","OnPlay;OnUpgrade","Random current-color Attack to hand and free this turn. Amount is 1, so distinct-vs-random does not change behavior.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\InfernalBlade.cs"
"Inferno","Ironclad","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:InfernoPower","supported primitives only","ApplyPower","InfernoPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Inferno.cs"
"Inflame","Ironclad","Power","Uncommon","1","Self","","Exact","High","GainStrength","supported primitives only","GainStrength","StrengthPower","PowerVar","OnEnqueuePlayVfx;OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Inflame.cs"
"IronWave","Ironclad","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage; GainBlock","supported primitives only","DealDamage;GainBlock","","BlockVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\IronWave.cs"
"Juggernaut","Ironclad","Power","Rare","2","Self","","Exact","High","ApplyPower; ApplyPower:JuggernautPower","supported primitives only","ApplyPower","JuggernautPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Juggernaut.cs"
"Juggling","Ironclad","Power","Uncommon","1","Self","Innate","Exact","High","ApplyPower; ApplyPower:JugglingPower","supported primitives only","ApplyPower","JugglingPower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Juggling.cs"
"Mangle","Ironclad","Attack","Rare","3","AnyEnemy","","Exact","High","DealDamage; ApplyPower; ApplyPower:ManglePower","supported primitives only","DealDamage;ApplyPower","ManglePower","DamageVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Mangle.cs"
"MoltenFist","Ironclad","Attack","Common","1","AnyEnemy","Exhaust","Almost","Medium","DealDamage; ApplyVulnerable","conditional branch","DealDamage;ApplyVulnerable","VulnerablePower","DamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\MoltenFist.cs"
"NotYet","Ironclad","Skill","Rare","2","Self","Exhaust","Exact","High","Heal","supported primitives only","Heal","","HealVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\NotYet.cs"
"Offering","Ironclad","Skill","Rare","0","Self","Exhaust","Exact","High","DrawCards; GainEnergy; LoseHp","supported primitives only","DrawCards;GainEnergy;LoseHp","","CardsVar;DynamicVar;EnergyVar;HpLossVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Offering.cs"
"OneTwoPunch","Ironclad","Skill","Rare","1","Self","","Exact","High","ApplyPower; ApplyPower:OneTwoPunchPower","supported primitives only","ApplyPower","OneTwoPunchPower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\OneTwoPunch.cs"
"PactsEnd","Ironclad","Attack","Rare","0","AllEnemies","","Exact","High","DealDamage","supported primitives only","DealDamage","","CardsVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PactsEnd.cs"
"PerfectedStrike","Ironclad","Attack","Common","2","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PerfectedStrike.cs"
"Pillage","Ironclad","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage; DrawCards","supported primitives only","DealDamage;DrawCards","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Pillage.cs"
"PommelStrike","Ironclad","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage; DrawCards","supported primitives only","DealDamage;DrawCards","","CardsVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PommelStrike.cs"
"PrimalForce","Ironclad","Skill","Rare","0","Self","","Almost","Medium","AddSpecificCardToHand; TransformCards; UpgradeCardsInPile","conditional branch; loop/repeat; custom card filter; pile scan; specific generated card","AddSpecificCardToHand;TransformCards;UpgradeCardsInPile","","","OnPlay","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PrimalForce.cs"
"Pyre","Ironclad","Power","Rare","2","Self","","Exact","High","ApplyPower; ApplyPower:PyrePower","supported primitives only","ApplyPower","PyrePower","EnergyVar","OnEnqueuePlayVfx;OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Pyre.cs"
"Rage","Ironclad","Skill","Uncommon","0","Self","","Exact","High","ApplyPower; ApplyPower:RagePower","supported primitives only","ApplyPower","RagePower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Rage.cs"
"Rampage","Ironclad","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar;DynamicVar","AfterDowngraded;OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Rampage.cs"
"Rupture","Ironclad","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:RupturePower","supported primitives only","ApplyPower","RupturePower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Rupture.cs"
"SecondWind","Ironclad","Skill","Uncommon","1","Self","Exhaust","Almost","Medium","GainBlock; ExhaustCards","loop/repeat","GainBlock;ExhaustCards","","BlockVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SecondWind.cs"
